Incident Id,Received,IncidentType,ProductType,NotifierType,OriginCountry,IncidentSource
I-005-855,20/06/23,Non-Pathogenic Micro-Organisims,Prepared Dishes & Snacks,Industry,United Kingdom,Microbiological Contamination
I-005-856,16/06/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Public Health England (PHE),United Kingdom,Microbiological Contamination
I-005-857,20/06/23,Pesticide Residues,Cereals & Bakery Products,RASFF,Austria,Pesticides
I-005-858,20/06/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Poland,Use of Unauthorised Ingredient
I-005-859,19/06/23,Foreign Bodies,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Unknown
I-005-860,22/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),General Public,United Kingdom,Human Error
I-005-861,21/06/23,ALLERGEN: Milk,Poultry Meat & Poultry Meat Products,Food Standards Scotland (FSS),United Kingdom,Labelling Packaging Error
I-005-862,21/06/23,Foreign Bodies,Other Food Product / Mixed,Industry,United Kingdom,Unknown
I-005-863,21/06/23,Labelling Absent / Incomplete / Incorrect,Soups / Broths / Sauces & Condiments,Industry,United Kingdom,Labelling Packaging Error
I-005-864,21/06/23,Pesticide Residues,Herbs & Spices,RASFF,Russia,Pesticides
I-005-865,21/06/23,ALLERGEN: Non-regulated allergen reactions,Cereals & Bakery Products,Industry,United Kingdom,Labelling Packaging Error
I-005-866,22/06/23,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,Food Standards Scotland (FSS),Belgium,Labelling Packaging Error
I-005-867,21/06/23,Not Determined / Other,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Human Error
I-005-868,22/06/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-869,22/06/23,ALLERGEN: Cereals containing gluten,Cereals & Bakery Products,Local Authority,United Kingdom,Human Error
I-005-870,22/06/23,Pesticide Residues,Herbs & Spices,RASFF,India,Pesticides
I-005-871,22/06/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-872,22/06/23,Pesticide Residues,Herbs & Spices,RASFF,India,Pesticides
I-005-873,23/06/23,Pesticide Residues,Herbs & Spices,Local Authority,India,Pesticides
I-005-874,23/06/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-875,23/06/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-876,23/06/23,Residues of Veterinary Medicinal Products,Milk & Milk Products,FSA Dairy Inspector,United Kingdom,Veterinary Medicine
I-005-877,23/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),RASFF,United Kingdom,Investigation Ongoing
I-005-878,23/06/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-879,23/06/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,,Veterinary Medicine
I-005-880,26/06/23,Poor or Insufficient Controls,Confectionery,Local Authority,United Kingdom,Unauthorised Premises/Process
I-005-881,26/06/23,Foreign Bodies,Other Food Product / Mixed,EU Member States,United Kingdom,Unknown
I-005-882,26/06/23,Pesticide Residues,Herbs & Spices,RASFF,Pakistan,Pesticides
I-005-883,26/06/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-884,26/06/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,Pakistan,Illegal Import/Export
I-005-885,27/06/23,Food Additives & Flavourings,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-005-886,27/06/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-887,27/06/23,Pathogenic Micro-Organisms,Undefined,Public Health England (PHE),,Unknown
I-005-888,27/06/23,Pathogenic Micro-Organisms,Undefined,Public Health England (PHE),,Unknown
I-005-889,27/06/23,Pathogenic Micro-Organisms,Undefined,Public Health England (PHE),,Unknown
I-005-890,27/06/23,Food Additives & Flavourings,Prepared Dishes & Snacks,EU Member States,United States,Use of Unauthorised Ingredient
I-005-891,27/06/23,Food Additives & Flavourings,Non-Alcoholic Beverages,RASFF,United States,Use of Unauthorised Ingredient
I-005-892,27/06/23,Chemical Contamination (other),Fish & Fish Products,FSA Northern Ireland (FSANI),Scotland,Natural Chemical Contamination
I-005-893,27/06/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Public Health England (PHE),Not Easily Identified,Investigation Ongoing
I-005-894,27/06/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Public Health England (PHE),Not Easily Identified,Investigation Ongoing
I-005-895,28/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Department for Environment Food & Rural Affairs (Defra),United Kingdom,Human Error
I-005-896,28/06/23,Composition,Cereals & Bakery Products,EU Member States,Taiwan,Use of Unauthorised Ingredient
I-005-897,28/06/23,Poor or Insufficient Controls,Other Food Product / Mixed,Local Authority,Not Easily Identified,Unknown
I-005-898,28/06/23,Poor or Insufficient Controls,Egg & Egg Products,Local Authority,United Kingdom,Unauthorised Premises/Process
I-005-899,27/06/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Public Health England (PHE),United Kingdom,Microbiological Contamination
I-005-900,23/06/23,Poor or Insufficient Controls,Milk & Milk Products,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Unauthorised Premises/Process
I-005-901,28/06/23,Undefined,Undefined,Undefined,,Unknown
I-005-902,28/06/23,Poor or Insufficient Controls,Animal by-Products,Local Authority,,Unknown
I-005-903,28/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Local Authority,United Kingdom,Investigation Ongoing
I-005-904,29/06/23,Chemical Contamination (other),N/A,Other,,Migration of Chemicals
I-005-905,29/06/23,Foreign Bodies,Cereals & Bakery Products,General Public,United Kingdom,Production Fault
I-005-907,29/06/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,FSA Wales (FSAW),United Kingdom,Microbiological Contamination
I-005-908,30/06/23,Food Additives & Flavourings,Other Food Product / Mixed,Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-005-909,30/06/23,ALLERGEN: Cereals containing gluten,Herbs & Spices,Local Authority,United Kingdom,Labelling Packaging Error
I-005-910,30/06/23,ALLERGEN: Cereals containing gluten,Prepared Dishes & Snacks,Industry,United Kingdom,Unknown
I-005-911,30/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Food Standards Scotland (FSS),United Kingdom,Investigation Ongoing
I-005-912,03/07/23,Pesticide Residues,Herbs & Spices,RASFF,Pakistan,Pesticides
I-005-913,03/07/23,Pesticide Residues,Herbs & Spices,RASFF,Pakistan,Pesticides
I-005-915,03/07/23,Poor or Insufficient Controls,Food Contact Materials,RASFF,Spain,Production Fault
I-005-916,03/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Canada,Use of Unauthorised Ingredient
I-005-917,03/07/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,United States,Use of Unauthorised Ingredient
I-005-918,03/07/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,Poland,Microbiological Contamination
I-005-919,30/06/23,Pathogenic Micro-Organisms,N/A,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-920,04/07/23,Industrial Contaminants,Cocoa / Cocoa Preparations / Coffee / Tea,RASFF,China,Migration of Chemicals
I-005-921,04/07/23,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,Other,United Kingdom,Human Error
I-005-923,07/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-924,05/07/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Local Authority,Taiwan,Use of Unauthorised Ingredient
I-005-925,05/07/23,Pathogenic Micro-Organisms,Fruits & Vegetables,Local Authority,United Kingdom,Microbiological Contamination
I-005-926,05/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-005-927,05/07/23,Migration,Food Contact Materials,RASFF,China,Migration of Chemicals
I-005-928,05/07/23,Radiation,Other Food Product / Mixed,RASFF,Turkey,Unauthorised Premises/Process
I-005-929,05/07/23,Heavy Metals,Feed Materials,Other,United Kingdom,Animal Feed
I-005-930,05/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,United Kingdom,Pesticides
I-005-931,05/07/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),RASFF,Romania,Microbiological Contamination
I-005-932,06/07/23,ALLERGEN: Milk,Milk & Milk Products,National Food Crime Unit (NFCU),Iran,Illegal Import/Export
I-005-933,06/07/23,Residues of Veterinary Medicinal Products,Crustaceans & Products Thereof,Industry,Vietnam,Veterinary Medicine
I-005-934,06/07/23,Mycotoxins,Milk & Milk Products,Industry,France,Production Fault
I-005-935,06/07/23,Food Additives & Flavourings,Confectionery,RASFF,Vietnam,Use of Unauthorised Ingredient
I-005-936,06/07/23,Food Additives & Flavourings,Non-Alcoholic Beverages,Port Health Authority (PHA),United States,Use of Unauthorised Ingredient
I-005-937,06/07/23,Pathogenic Micro-Organisms,Pet Food,Local Authority,United Kingdom,Microbiological Contamination
I-005-938,07/07/23,ALLERGEN: Sesame seeds,Herbs & Spices,Local Authority,Australia,Labelling Packaging Error
I-005-939,07/07/23,Foreign Bodies,Confectionery,Local Authority,Turkey,Production Fault
I-005-940,07/07/23,Pathogenic Micro-Organisms,Ices & Desserts,EU Member States,United Kingdom,Microbiological Contamination
I-005-941,07/07/23,Pesticide Residues,Fruits & Vegetables,FSA England,Rwanda,Pesticides
I-005-942,07/07/23,Poor or Insufficient Controls,Non-Alcoholic Beverages,RASFF,United States,Unauthorised Premises/Process
I-005-943,07/07/23,Foreign Bodies,Confectionery,RASFF,Denmark,Unknown
I-005-944,07/07/23,Pesticide Residues,Herbs & Spices,RASFF,Pakistan,Pesticides
I-005-945,07/07/23,Novel Food,Alcoholic Beverages,RASFF,Scotland,Use of Unauthorised Ingredient
I-005-946,07/07/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-948,10/07/23,Biotoxins (other),Fish & Fish Products,Food Standards Scotland (FSS),Scotland,Unknown
I-005-949,10/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,China,Microbiological Contamination
I-005-950,10/07/23,Packaging Defective / Incorrect,Confectionery,RASFF,China,Production Fault
I-005-951,10/07/23,Novel Food,Alcoholic Beverages,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-952,10/07/23,ALLERGEN: Soya,Cereals & Bakery Products,Industry,United Kingdom,Use of Unauthorised Ingredient
I-005-953,11/07/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-954,11/07/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),,Microbiological Contamination
I-005-955,11/07/23,Residues of Veterinary Medicinal Products,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,China,Veterinary Medicine
I-005-956,10/07/23,Food Additives & Flavourings,Confectionery,RASFF,Northern Ireland,Use of Unauthorised Ingredient
I-005-957,11/07/23,Heavy Metals,Fruits & Vegetables,RASFF,Costa Rica,Metals - Other
I-005-958,11/07/23,ALLERGEN: Sulphur dioxide / Sulphites,Non-Alcoholic Beverages,Local Authority,Greece,Labelling Packaging Error
I-005-959,12/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Poland,Use of Unauthorised Ingredient
I-005-960,10/07/23,Food Additives & Flavourings,Dietetic Foods / Food Supplements / Fortified Foods,EU Member States,Poland,Use of Unauthorised Ingredient
I-005-961,12/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Poland,Use of Unauthorised Ingredient
I-005-962,12/07/23,ALLERGEN: Mustard,Soups / Broths / Sauces & Condiments,Industry,United Kingdom,Production Fault
I-005-963,12/07/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,China,Investigation Ongoing
I-005-964,12/07/23,Novel Food,Non-Alcoholic Beverages,RASFF,United States,Use of Unauthorised Ingredient
I-005-965,12/07/23,ALLERGEN: Eggs,Ices & Desserts,Industry,United Kingdom,Production Fault
I-005-966,12/07/23,ALLERGEN: Fish,Fish & Fish Products,Industry,Spain,Labelling Packaging Error
I-005-967,12/07/23,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-968,13/07/23,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-969,13/07/23,Residues of Veterinary Medicinal Products,Feed Additives,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-005-970,13/07/23,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United Kingdom,Labelling Packaging Error
I-005-971,13/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,France,Microbiological Contamination
I-005-972,21/06/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Port Health Authority (PHA),Australia,Human Error
I-005-973,14/07/23,Chemical Contamination (other),Dietetic Foods / Food Supplements / Fortified Foods,RASFF,China,Migration of Chemicals
I-005-974,14/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Switzerland,Use of Unauthorised Ingredient
I-005-975,14/07/23,Chemical Contamination (other),Herbs & Spices,RASFF,Not Easily Identified,Natural Chemical Contamination
I-005-976,14/07/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,Industry,Hungary,Microbiological Contamination
I-005-977,14/07/23,Radiation,Herbs & Spices,EU Member States,United Kingdom,Unauthorised Premises/Process
I-005-978,14/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-005-979,14/07/23,Pesticide Residues,Cocoa / Cocoa Preparations / Coffee / Tea,Port Health Authority (PHA),Taiwan,Pesticides
I-005-980,14/07/23,Food Additives & Flavourings,Fish & Fish Products,Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-005-981,14/07/23,Pathogenic Micro-Organisms,Fruits & Vegetables,Port Health Authority (PHA),China,Microbiological Contamination
I-005-982,14/07/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Animal & Plant Health Agency (APHA),United Kingdom,Veterinary Medicine
I-005-984,18/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,Poland,Use of Unauthorised Ingredient
I-005-985,14/07/23,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Veterinary Medicines Directorate,,Veterinary Medicine
I-005-986,17/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,United Arab Emirates,Pesticides
I-005-987,18/07/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Department for Environment Food & Rural Affairs (Defra),United Kingdom,Microbiological Contamination
I-005-988,18/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,Spain,Pesticides
I-005-989,17/07/23,Heavy Metals,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Metals - Other
I-005-990,18/07/23,Foreign Bodies,Fruits & Vegetables,Local Authority,United Kingdom,Unknown
I-005-991,18/07/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Industry,United Kingdom,Microbiological Contamination
I-005-992,18/07/23,Food Additives & Flavourings,Confectionery,Local Authority,Vietnam,Use of Unauthorised Ingredient
I-005-993,18/07/23,ALLERGEN: Sulphur dioxide / Sulphites,Prepared Dishes & Snacks,Industry,United Kingdom,Unknown
I-005-994,18/07/23,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Other,United Kingdom,Microbiological Contamination
I-005-995,18/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Use of Unauthorised Ingredient
I-005-996,19/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-005-997,19/07/23,Mycotoxins,Fruits & Vegetables,RASFF,Turkey,Natural Chemical Contamination
I-005-998,19/07/23,Composition,Dietetic Foods / Food Supplements / Fortified Foods,RASFF,United Kingdom,Illegal Import/Export
I-005-999,19/07/23,Pathogenic Micro-Organisms,Egg & Egg Products,RASFF,Poland,Microbiological Contamination
I-006-001,19/07/23,Feed Additives,Feed Additives,RASFF,United Kingdom,Animal Feed
I-006-002,18/07/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),FSA England,,Microbiological Contamination
I-006-003,20/07/23,Food Additives & Flavourings,Fruits & Vegetables,Local Authority,United States,Use of Unauthorised Ingredient
I-006-004,20/07/23,Labelling Absent / Incomplete / Incorrect,Cereals & Bakery Products,RASFF,United Kingdom,Labelling Packaging Error
I-006-005,20/07/23,ALLERGEN: Nuts,Nuts / Nut Products / Seeds,Industry,United Kingdom,Unauthorised Premises/Process
I-006-006,19/07/23,Heavy Metals,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Metals - Other
I-006-007,20/07/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),Department for Environment Food & Rural Affairs (Defra),United Kingdom,Human Error
I-006-008,20/07/23,ALLERGEN: Soya,Cereals & Bakery Products,Local Authority,Bangladesh,Labelling Packaging Error
I-006-009,20/07/23,Pathogenic Micro-Organisms,Egg & Egg Products,Public Health England (PHE),Spain,Microbiological Contamination
I-006-011,21/07/23,Labelling Absent / Incomplete / Incorrect,Non-Alcoholic Beverages,Local Authority,United Kingdom,Labelling Packaging Error
I-006-012,18/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,Spain,Pesticides
I-006-013,21/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-006-014,24/07/23,ALLERGEN: Sulphur dioxide / Sulphites,Non-Alcoholic Beverages,FSA RAM Referral,France,Labelling Packaging Error
I-006-015,24/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,France,Microbiological Contamination
I-006-016,24/07/23,Poor or Insufficient Controls,Alcoholic Beverages,Local Authority,United Kingdom,Production Fault
I-006-017,24/07/23,Foreign Bodies,Poultry Meat & Poultry Meat Products,RASFF,France,Production Fault
I-006-023,26/07/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),European Commission (EC),United Kingdom,Illegal Import/Export
I-006-024,24/07/23,Food Additives & Flavourings,Confectionery,FSA RAM Referral,China,Use of Unauthorised Ingredient
I-006-025,24/07/23,ALLERGEN: Peanuts,Nuts / Nut Products / Seeds,Industry,United Kingdom,Labelling Packaging Error
I-006-026,25/07/23,ALLERGEN: Cereals containing gluten,Other Food Product / Mixed,Local Authority,India,Labelling Packaging Error
I-006-027,25/07/23,Foreign Bodies,Confectionery,Local Authority,Czechia,Production Fault
I-006-028,25/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,Kenya,Pesticides
I-006-029,26/07/23,Biotoxins (other),Bivalve Molluscs & Products Thereof,Other,,Natural Chemical Contamination
I-006-030,26/07/23,Labelling Absent / Incomplete / Incorrect,Confectionery,Local Authority,United States,Use of Unauthorised Ingredient
I-006-032,26/07/23,ALLERGEN: Milk,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United Kingdom,Human Error
I-006-033,27/07/23,Pesticide Residues,Fruits & Vegetables,RASFF,South Africa,Pesticides
I-006-034,27/07/23,Pathogenic Micro-Organisms,Fruits & Vegetables,Port Health Authority (PHA),China,Microbiological Contamination
I-006-035,27/07/23,ALLERGEN: Nuts,Confectionery,Local Authority,United Kingdom,Human Error
I-006-036,27/07/23,ALLERGEN: Fish,Prepared Dishes & Snacks,Industry,Ireland,Labelling Packaging Error
I-006-038,27/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-006-039,27/07/23,ALLERGEN: Milk,Fruits & Vegetables,Local Authority,United States,Investigation Ongoing
I-006-040,28/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Other,United Kingdom,Microbiological Contamination
I-006-041,28/07/23,Foreign Bodies,Herbs & Spices,Industry,United Kingdom,Production Fault
I-006-042,28/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-006-043,28/07/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Animal & Plant Health Agency (APHA),United Kingdom,Microbiological Contamination
I-006-044,28/07/23,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,Industry,Germany,Labelling Packaging Error
I-006-045,31/07/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,EU Member States,United Kingdom,Use of Unauthorised Ingredient
I-006-046,31/07/23,Pathogenic Micro-Organisms,Fruits & Vegetables,FSA England,China,Microbiological Contamination
I-006-047,31/07/23,Food Additives & Flavourings,Confectionery,Third Country,China,Use of Unauthorised Ingredient
I-006-050,01/08/23,Heavy Metals,Meat & Meat Products (other than poultry),"Department of Agriculture, Environment and Rural Affairs (DAERA)",Northern Ireland,Metals - Other
I-006-051,01/08/23,Pathogenic Micro-Organisms,Herbs & Spices,Local Authority,United Kingdom,Microbiological Contamination
I-006-052,02/08/23,ALLERGEN: Cereals containing gluten,Alcoholic Beverages,Industry,United Kingdom,Human Error
I-006-053,01/08/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-006-054,01/08/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,Wales,Veterinary Medicine
I-006-055,01/08/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,Wales,Natural Chemical Contamination
I-006-056,02/08/23,Heavy Metals,Pet Food,Industry,United Kingdom,Migration of Chemicals
I-006-057,02/08/23,Pathogenic Micro-Organisms,Pet Food,Food Standards Scotland (FSS),United Kingdom,Microbiological Contamination
I-006-058,02/08/23,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-006-059,02/08/23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-006-060,03/08/23,Pathogenic Micro-Organisms,Fruits & Vegetables,RASFF,Not Easily Identified,Microbiological Contamination
I-006-061,03/08/23,Chemical Contamination (other),Milk & Milk Products,Local Authority,United Kingdom,Malicious Tampering
I-006-062,03/08/23,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Third Country,Pakistan,Microbiological Contamination
I-006-063,03/08/23,Chemical Contamination (other),Cereals & Bakery Products,RASFF,Poland,Unknown
I-006-064,03/08/23,Packaging Defective / Incorrect,Confectionery,Local Authority,United Kingdom,Fraud
I-006-065,04/08/23,Foreign Bodies,Fruits & Vegetables,RASFF,Netherlands,Metals - Other
I-006-066,04/08/23,ALLERGEN: Cereals containing gluten,Cereals & Bakery Products,Local Authority,United Kingdom,Labelling Packaging Error
I-006-067,03/08/23,Residues of Veterinary Medicinal Products,Egg & Egg Products,Veterinary Medicines Directorate,United Kingdom,Veterinary Medicine
I-006-068,04/08/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,RASFF,Poland,Microbiological Contamination
I-006-069,04/08/23,Poor or Insufficient Controls,Crustaceans & Products Thereof,General Public,Vietnam,Microbiological Contamination
I-006-070,04/08/23,Foreign Bodies,Poultry Meat & Poultry Meat Products,Local Authority,United Kingdom,Human Error
I-006-071,04/08/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Other,United Kingdom,Microbiological Contamination
I-006-072,04/08/23,ALLERGEN: Peanuts,Cereals & Bakery Products,Industry,United Kingdom,Labelling Packaging Error
I-006-073,07/08/23,Not Determined / Other,Meat & Meat Products (other than poultry),RASFF,Spain,Unknown
I-006-074,07/08/23,Not Determined / Other,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United Kingdom,Use of Unauthorised Ingredient
I-006-075,08/08/23,Biotoxins (other),Bivalve Molluscs & Products Thereof,Other,,Spill/Leak
I-006-076,08/08/23,ALLERGEN: Peanuts,Herbs & Spices,Local Authority,United Kingdom,Unknown
I-006-077,08/08/23,ALLERGEN: Peanuts,Herbs & Spices,Local Authority,United Kingdom,Human Error
I-006-078,08/08/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,FSA Survey,Poland,Microbiological Contamination
I-006-079,08/08/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,FSA Survey,Poland,Microbiological Contamination
I-006-080,08/08/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,FSA Policy,Poland,Microbiological Contamination
I-006-081,08/08/23,Food Additives & Flavourings,Confectionery,RASFF,Germany,Unauthorised Premises/Process
I-006-082,08/08/23,Poor or Insufficient Controls,Fruits & Vegetables,RASFF,Egypt,Pesticides
I-006-083,08/08/23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,FSA Survey,Poland,Microbiological Contamination
I-006-084,09/08/23,Foreign Bodies,Cereals & Bakery Products,RASFF,Italy,Production Fault
I-006-085,08/08/23,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Local Authority,Hungary,Labelling Packaging Error
I-006-086,09/08/23,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Local Authority,United States,Use of Unauthorised Ingredient
I-006-087,09/08/23,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Local Authority,Iran,Microbiological Contamination
I-006-088,09/08/23,Food Additives & Flavourings,Cereals & Bakery Products,RASFF,United States,Use of Unauthorised Ingredient
I-006-089,09/08/23,Foreign Bodies,Prepared Dishes & Snacks,FSA England,United Kingdom,Metals - Other
I-006-090,09/08/23,Pathogenic Micro-Organisms,Bivalve Molluscs & Products Thereof,Local Authority,United Kingdom,Microbiological Contamination
I-006-091,09/08/23,ALLERGEN: Peanuts,Cereals & Bakery Products,EU Member States,Lithuania,Labelling Packaging Error
I-006-092,09/08/23,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),RASFF,,Production Fault
I-006-093,09/08/23,Poor or Insufficient Controls,Feed Materials,Local Authority,Scotland,Investigation Ongoing
I-006-095,09/08/23,Pathogenic Micro-Organisms,Milk & Milk Products,FSA Operations Group,United Kingdom,Microbiological Contamination
I-006-096,10/08/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),FSA England,Australia,Microbiological Contamination
I-006-098,10/08/23,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),RASFF,United Kingdom,Microbiological Contamination
I-006-099,10/08/23,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,Local Authority,United Kingdom,Microbiological Contamination
I-006-100,10/08/23,Composition,Honey & Royal Jelly,Port Health Authority (PHA),,Unknown
I-006-101,10/08/23,Composition,Honey & Royal Jelly,FSA England,China,Fraud
I-006-102,11/08/23,Pathogenic Micro-Organisms,Cereals & Bakery Products,Food Standards Scotland (FSS),United Kingdom,Microbiological Contamination
